year,age_group,ukborn,pulmextrapulm,type,policy_change,incidence
2011,45-49,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2011,45-49,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2011,45-49,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2011,45-49,UK Born,"Pulmonary, with or without EP",observed,Targeted,103
2011,45-49,NA,Extra-pulmonary only,fitted,Universal,0
2011,45-49,NA,Extra-pulmonary only,fitted,Targeted,0
2011,45-49,NA,Extra-pulmonary only,observed,Universal,0
2011,45-49,NA,Extra-pulmonary only,observed,Targeted,7
2011,45-49,NA,"Pulmonary, with or without EP",fitted,Universal,0
2011,45-49,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2011,45-49,NA,"Pulmonary, with or without EP",observed,Universal,0
2011,45-49,NA,"Pulmonary, with or without EP",observed,Targeted,14
2011,50-69,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2011,50-69,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2011,50-69,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2011,50-69,Non-UK Born,Extra-pulmonary only,observed,Targeted,562
2011,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2011,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2011,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2011,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,438
2011,50-69,Non-UK Born,NA,fitted,Universal,0
2011,50-69,Non-UK Born,NA,fitted,Targeted,0
2011,50-69,Non-UK Born,NA,observed,Universal,0
2011,50-69,Non-UK Born,NA,observed,Targeted,1
2011,50-69,UK Born,Extra-pulmonary only,fitted,Universal,0
2011,50-69,UK Born,Extra-pulmonary only,fitted,Targeted,0
2011,50-69,UK Born,Extra-pulmonary only,observed,Universal,0
2011,50-69,UK Born,Extra-pulmonary only,observed,Targeted,96
2011,50-69,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2011,50-69,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2011,50-69,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2011,50-69,UK Born,"Pulmonary, with or without EP",observed,Targeted,268
2011,50-69,UK Born,NA,fitted,Universal,0
2011,50-69,UK Born,NA,fitted,Targeted,0
2011,50-69,UK Born,NA,observed,Universal,0
2011,50-69,UK Born,NA,observed,Targeted,6
2011,50-69,NA,Extra-pulmonary only,fitted,Universal,0
2011,50-69,NA,Extra-pulmonary only,fitted,Targeted,0
2011,50-69,NA,Extra-pulmonary only,observed,Universal,0
2011,50-69,NA,Extra-pulmonary only,observed,Targeted,29
2011,50-69,NA,"Pulmonary, with or without EP",fitted,Universal,0
2011,50-69,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2011,50-69,NA,"Pulmonary, with or without EP",observed,Universal,0
2011,50-69,NA,"Pulmonary, with or without EP",observed,Targeted,54
2011,50-69,NA,NA,fitted,Universal,0
2011,50-69,NA,NA,fitted,Targeted,0
2011,50-69,NA,NA,observed,Universal,0
2011,50-69,NA,NA,observed,Targeted,2
2011,70-89,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2011,70-89,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2011,70-89,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2011,70-89,Non-UK Born,Extra-pulmonary only,observed,Targeted,181
2011,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2011,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2011,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2011,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,243
2011,70-89,Non-UK Born,NA,fitted,Universal,0
2011,70-89,Non-UK Born,NA,fitted,Targeted,0
2011,70-89,Non-UK Born,NA,observed,Universal,0
2011,70-89,Non-UK Born,NA,observed,Targeted,1
2011,70-89,UK Born,Extra-pulmonary only,fitted,Universal,0
2011,70-89,UK Born,Extra-pulmonary only,fitted,Targeted,0
2011,70-89,UK Born,Extra-pulmonary only,observed,Universal,0
2011,70-89,UK Born,Extra-pulmonary only,observed,Targeted,88
2011,70-89,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2011,70-89,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2011,70-89,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2011,70-89,UK Born,"Pulmonary, with or without EP",observed,Targeted,210
2011,70-89,UK Born,NA,fitted,Universal,0
2011,70-89,UK Born,NA,fitted,Targeted,0
2011,70-89,UK Born,NA,observed,Universal,0
2011,70-89,UK Born,NA,observed,Targeted,6
2011,70-89,NA,Extra-pulmonary only,fitted,Universal,0
2011,70-89,NA,Extra-pulmonary only,fitted,Targeted,0
2011,70-89,NA,Extra-pulmonary only,observed,Universal,0
2011,70-89,NA,Extra-pulmonary only,observed,Targeted,20
2011,70-89,NA,"Pulmonary, with or without EP",fitted,Universal,0
2011,70-89,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2011,70-89,NA,"Pulmonary, with or without EP",observed,Universal,0
2011,70-89,NA,"Pulmonary, with or without EP",observed,Targeted,39
2012,0-4,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,0-4,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,0-4,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,0-4,Non-UK Born,Extra-pulmonary only,observed,Targeted,3
2012,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,11
2012,0-4,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,0-4,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,0-4,UK Born,Extra-pulmonary only,observed,Universal,0
2012,0-4,UK Born,Extra-pulmonary only,observed,Targeted,34
2012,0-4,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,0-4,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,0-4,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,0-4,UK Born,"Pulmonary, with or without EP",observed,Targeted,94
2012,0-4,UK Born,NA,fitted,Universal,0
2012,0-4,UK Born,NA,fitted,Targeted,0
2012,0-4,UK Born,NA,observed,Universal,0
2012,0-4,UK Born,NA,observed,Targeted,3
2012,0-4,NA,Extra-pulmonary only,fitted,Universal,0
2012,0-4,NA,Extra-pulmonary only,fitted,Targeted,0
2012,0-4,NA,Extra-pulmonary only,observed,Universal,0
2012,0-4,NA,Extra-pulmonary only,observed,Targeted,2
2012,0-4,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,0-4,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,0-4,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,0-4,NA,"Pulmonary, with or without EP",observed,Targeted,3
2012,0-4,NA,NA,fitted,Universal,0
2012,0-4,NA,NA,fitted,Targeted,0
2012,0-4,NA,NA,observed,Universal,0
2012,0-4,NA,NA,observed,Targeted,4
2012,5-9,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,5-9,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,5-9,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,5-9,Non-UK Born,Extra-pulmonary only,observed,Targeted,13
2012,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,21
2012,5-9,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,5-9,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,5-9,UK Born,Extra-pulmonary only,observed,Universal,0
2012,5-9,UK Born,Extra-pulmonary only,observed,Targeted,19
2012,5-9,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,5-9,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,5-9,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,5-9,UK Born,"Pulmonary, with or without EP",observed,Targeted,31
2012,5-9,UK Born,NA,fitted,Universal,0
2012,5-9,UK Born,NA,fitted,Targeted,0
2012,5-9,UK Born,NA,observed,Universal,0
2012,5-9,UK Born,NA,observed,Targeted,1
2012,5-9,NA,Extra-pulmonary only,fitted,Universal,0
2012,5-9,NA,Extra-pulmonary only,fitted,Targeted,0
2012,5-9,NA,Extra-pulmonary only,observed,Universal,0
2012,5-9,NA,Extra-pulmonary only,observed,Targeted,0
2012,5-9,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,5-9,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,5-9,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,5-9,NA,"Pulmonary, with or without EP",observed,Targeted,3
2012,5-9,NA,NA,fitted,Universal,0
2012,5-9,NA,NA,fitted,Targeted,0
2012,5-9,NA,NA,observed,Universal,0
2012,5-9,NA,NA,observed,Targeted,2
2012,10-14,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,10-14,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,10-14,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,10-14,Non-UK Born,Extra-pulmonary only,observed,Targeted,20
2012,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,10-14,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,51
2012,10-14,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,10-14,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,10-14,UK Born,Extra-pulmonary only,observed,Universal,0
2012,10-14,UK Born,Extra-pulmonary only,observed,Targeted,27
2012,10-14,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,10-14,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,10-14,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,10-14,UK Born,"Pulmonary, with or without EP",observed,Targeted,45
2012,10-14,NA,Extra-pulmonary only,fitted,Universal,0
2012,10-14,NA,Extra-pulmonary only,fitted,Targeted,0
2012,10-14,NA,Extra-pulmonary only,observed,Universal,0
2012,10-14,NA,Extra-pulmonary only,observed,Targeted,4
2012,10-14,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,10-14,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,10-14,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,10-14,NA,"Pulmonary, with or without EP",observed,Targeted,5
2012,15-19,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,15-19,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,15-19,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,15-19,Non-UK Born,Extra-pulmonary only,observed,Targeted,76
2012,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,15-19,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,15-19,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,138
2012,15-19,Non-UK Born,NA,fitted,Universal,0
2012,15-19,Non-UK Born,NA,fitted,Targeted,0
2012,15-19,Non-UK Born,NA,observed,Universal,0
2012,15-19,Non-UK Born,NA,observed,Targeted,1
2012,15-19,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,15-19,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,15-19,UK Born,Extra-pulmonary only,observed,Universal,0
2012,15-19,UK Born,Extra-pulmonary only,observed,Targeted,54
2012,15-19,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,15-19,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,15-19,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,15-19,UK Born,"Pulmonary, with or without EP",observed,Targeted,86
2012,15-19,UK Born,NA,fitted,Universal,0
2012,15-19,UK Born,NA,fitted,Targeted,0
2012,15-19,UK Born,NA,observed,Universal,0
2012,15-19,UK Born,NA,observed,Targeted,2
2012,15-19,NA,Extra-pulmonary only,fitted,Universal,0
2012,15-19,NA,Extra-pulmonary only,fitted,Targeted,0
2012,15-19,NA,Extra-pulmonary only,observed,Universal,0
2012,15-19,NA,Extra-pulmonary only,observed,Targeted,3
2012,15-19,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,15-19,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,15-19,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,15-19,NA,"Pulmonary, with or without EP",observed,Targeted,3
2012,20-24,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,20-24,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,20-24,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,20-24,Non-UK Born,Extra-pulmonary only,observed,Targeted,287
2012,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,20-24,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,20-24,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,392
2012,20-24,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,20-24,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,20-24,UK Born,Extra-pulmonary only,observed,Universal,0
2012,20-24,UK Born,Extra-pulmonary only,observed,Targeted,54
2012,20-24,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,20-24,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,20-24,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,20-24,UK Born,"Pulmonary, with or without EP",observed,Targeted,108
2012,20-24,UK Born,NA,fitted,Universal,0
2012,20-24,UK Born,NA,fitted,Targeted,0
2012,20-24,UK Born,NA,observed,Universal,0
2012,20-24,UK Born,NA,observed,Targeted,2
2012,20-24,NA,Extra-pulmonary only,fitted,Universal,0
2012,20-24,NA,Extra-pulmonary only,fitted,Targeted,0
2012,20-24,NA,Extra-pulmonary only,observed,Universal,0
2012,20-24,NA,Extra-pulmonary only,observed,Targeted,8
2012,20-24,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,20-24,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,20-24,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,20-24,NA,"Pulmonary, with or without EP",observed,Targeted,7
2012,25-29,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,25-29,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,25-29,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,25-29,Non-UK Born,Extra-pulmonary only,observed,Targeted,569
2012,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,25-29,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,25-29,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,439
2012,25-29,Non-UK Born,NA,fitted,Universal,0
2012,25-29,Non-UK Born,NA,fitted,Targeted,0
2012,25-29,Non-UK Born,NA,observed,Universal,0
2012,25-29,Non-UK Born,NA,observed,Targeted,1
2012,25-29,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,25-29,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,25-29,UK Born,Extra-pulmonary only,observed,Universal,0
2012,25-29,UK Born,Extra-pulmonary only,observed,Targeted,63
2012,25-29,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,25-29,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,25-29,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,25-29,UK Born,"Pulmonary, with or without EP",observed,Targeted,107
2012,25-29,NA,Extra-pulmonary only,fitted,Universal,0
2012,25-29,NA,Extra-pulmonary only,fitted,Targeted,0
2012,25-29,NA,Extra-pulmonary only,observed,Universal,0
2012,25-29,NA,Extra-pulmonary only,observed,Targeted,14
2012,25-29,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,25-29,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,25-29,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,25-29,NA,"Pulmonary, with or without EP",observed,Targeted,14
2012,25-29,NA,NA,fitted,Universal,0
2012,25-29,NA,NA,fitted,Targeted,0
2012,25-29,NA,NA,observed,Universal,0
2012,25-29,NA,NA,observed,Targeted,3
2012,30-34,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,30-34,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,30-34,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,30-34,Non-UK Born,Extra-pulmonary only,observed,Targeted,520
2012,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,30-34,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,30-34,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,354
2012,30-34,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,30-34,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,30-34,UK Born,Extra-pulmonary only,observed,Universal,0
2012,30-34,UK Born,Extra-pulmonary only,observed,Targeted,49
2012,30-34,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,30-34,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,30-34,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,30-34,UK Born,"Pulmonary, with or without EP",observed,Targeted,97
2012,30-34,NA,Extra-pulmonary only,fitted,Universal,0
2012,30-34,NA,Extra-pulmonary only,fitted,Targeted,0
2012,30-34,NA,Extra-pulmonary only,observed,Universal,0
2012,30-34,NA,Extra-pulmonary only,observed,Targeted,7
2012,30-34,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,30-34,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,30-34,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,30-34,NA,"Pulmonary, with or without EP",observed,Targeted,13
2012,35-39,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,35-39,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,35-39,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,35-39,Non-UK Born,Extra-pulmonary only,observed,Targeted,404
2012,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,35-39,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,35-39,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,281
2012,35-39,Non-UK Born,NA,fitted,Universal,0
2012,35-39,Non-UK Born,NA,fitted,Targeted,0
2012,35-39,Non-UK Born,NA,observed,Universal,0
2012,35-39,Non-UK Born,NA,observed,Targeted,1
2012,35-39,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,35-39,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,35-39,UK Born,Extra-pulmonary only,observed,Universal,0
2012,35-39,UK Born,Extra-pulmonary only,observed,Targeted,35
2012,35-39,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,35-39,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,35-39,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,35-39,UK Born,"Pulmonary, with or without EP",observed,Targeted,72
2012,35-39,NA,Extra-pulmonary only,fitted,Universal,0
2012,35-39,NA,Extra-pulmonary only,fitted,Targeted,0
2012,35-39,NA,Extra-pulmonary only,observed,Universal,0
2012,35-39,NA,Extra-pulmonary only,observed,Targeted,8
2012,35-39,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,35-39,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,35-39,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,35-39,NA,"Pulmonary, with or without EP",observed,Targeted,8
2012,35-39,NA,NA,fitted,Universal,0
2012,35-39,NA,NA,fitted,Targeted,0
2012,35-39,NA,NA,observed,Universal,0
2012,35-39,NA,NA,observed,Targeted,2
2012,40-44,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,40-44,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,40-44,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,40-44,Non-UK Born,Extra-pulmonary only,observed,Targeted,314
2012,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,40-44,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,40-44,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,186
2012,40-44,Non-UK Born,NA,fitted,Universal,0
2012,40-44,Non-UK Born,NA,fitted,Targeted,0
2012,40-44,Non-UK Born,NA,observed,Universal,0
2012,40-44,Non-UK Born,NA,observed,Targeted,1
2012,40-44,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,40-44,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,40-44,UK Born,Extra-pulmonary only,observed,Universal,0
2012,40-44,UK Born,Extra-pulmonary only,observed,Targeted,50
2012,40-44,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,40-44,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,40-44,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,40-44,UK Born,"Pulmonary, with or without EP",observed,Targeted,99
2012,40-44,NA,Extra-pulmonary only,fitted,Universal,0
2012,40-44,NA,Extra-pulmonary only,fitted,Targeted,0
2012,40-44,NA,Extra-pulmonary only,observed,Universal,0
2012,40-44,NA,Extra-pulmonary only,observed,Targeted,8
2012,40-44,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,40-44,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,40-44,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,40-44,NA,"Pulmonary, with or without EP",observed,Targeted,11
2012,40-44,NA,NA,fitted,Universal,0
2012,40-44,NA,NA,fitted,Targeted,0
2012,40-44,NA,NA,observed,Universal,0
2012,40-44,NA,NA,observed,Targeted,1
2012,45-49,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,45-49,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,45-49,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,45-49,Non-UK Born,Extra-pulmonary only,observed,Targeted,209
2012,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,45-49,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,45-49,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,144
2012,45-49,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,45-49,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,45-49,UK Born,Extra-pulmonary only,observed,Universal,0
2012,45-49,UK Born,Extra-pulmonary only,observed,Targeted,29
2012,45-49,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,45-49,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,45-49,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,45-49,UK Born,"Pulmonary, with or without EP",observed,Targeted,116
2012,45-49,NA,Extra-pulmonary only,fitted,Universal,0
2012,45-49,NA,Extra-pulmonary only,fitted,Targeted,0
2012,45-49,NA,Extra-pulmonary only,observed,Universal,0
2012,45-49,NA,Extra-pulmonary only,observed,Targeted,4
2012,45-49,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,45-49,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,45-49,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,45-49,NA,"Pulmonary, with or without EP",observed,Targeted,10
2012,45-49,NA,NA,fitted,Universal,0
2012,45-49,NA,NA,fitted,Targeted,0
2012,45-49,NA,NA,observed,Universal,0
2012,45-49,NA,NA,observed,Targeted,2
2012,50-69,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,50-69,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,50-69,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,50-69,Non-UK Born,Extra-pulmonary only,observed,Targeted,522
2012,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,50-69,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,50-69,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,416
2012,50-69,Non-UK Born,NA,fitted,Universal,0
2012,50-69,Non-UK Born,NA,fitted,Targeted,0
2012,50-69,Non-UK Born,NA,observed,Universal,0
2012,50-69,Non-UK Born,NA,observed,Targeted,1
2012,50-69,UK Born,Extra-pulmonary only,fitted,Universal,0
2012,50-69,UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,50-69,UK Born,Extra-pulmonary only,observed,Universal,0
2012,50-69,UK Born,Extra-pulmonary only,observed,Targeted,127
2012,50-69,UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,50-69,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,50-69,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,50-69,UK Born,"Pulmonary, with or without EP",observed,Targeted,300
2012,50-69,UK Born,NA,fitted,Universal,0
2012,50-69,UK Born,NA,fitted,Targeted,0
2012,50-69,UK Born,NA,observed,Universal,0
2012,50-69,UK Born,NA,observed,Targeted,1
2012,50-69,NA,Extra-pulmonary only,fitted,Universal,0
2012,50-69,NA,Extra-pulmonary only,fitted,Targeted,0
2012,50-69,NA,Extra-pulmonary only,observed,Universal,0
2012,50-69,NA,Extra-pulmonary only,observed,Targeted,24
2012,50-69,NA,"Pulmonary, with or without EP",fitted,Universal,0
2012,50-69,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2012,50-69,NA,"Pulmonary, with or without EP",observed,Universal,0
2012,50-69,NA,"Pulmonary, with or without EP",observed,Targeted,34
2012,50-69,NA,NA,fitted,Universal,0
2012,50-69,NA,NA,fitted,Targeted,0
2012,50-69,NA,NA,observed,Universal,0
2012,50-69,NA,NA,observed,Targeted,1
2012,70-89,Non-UK Born,Extra-pulmonary only,fitted,Universal,0
2012,70-89,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2012,70-89,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2012,70-89,Non-UK Born,Extra-pulmonary only,observed,Targeted,196
2012,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,0
2012,70-89,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2012,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2012,70-89,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,257
2012,70-89,Non-UK Born,NA,fitted,Universal,0
2012,70-89,Non-UK Born,NA,fitted,Targeted,0
2012,70-89,Non-UK Born,NA,observed,Universal,0
2012,70-89,Non-UK Born,NA,observed,Targeted,3
2012,70-89,UK Born,Extra-pulmonary only,fitted,Universal,0
